AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,386.32496909996553
10.0,1.0,324.0130183440997
20.0,1.0,189.37002092899638
30.0,1.0,148.6876474111632
40.0,1.0,155.51125962924561
40.0,5.0,155.28687589617493
50.0,5.0,173.0714669551744
60.0,5.0,191.63547253782235
70.0,5.0,208.0926875265577
80.0,5.0,222.0793427521421
90.0,5.0,233.83566784489085
100.0,5.0,243.73449797413195
100.0,10.0,243.09416090928062
120.0,10.0,259.0474771101872
140.0,10.0,271.48254288140015
160.0,10.0,282.2648468625375
180.0,10.0,292.6039092366045
200.0,10.0,303.2220065757865
200.0,20.0,302.76065384800313
220.0,20.0,314.0755196372047
240.0,20.0,326.18931555806194
260.0,20.0,339.1338700123015
280.0,20.0,352.85352953049005
300.0,20.0,367.2465561852259
300.0,30.0,366.54604020687475
320.0,30.0,381.49123293750745
350.0,30.0,404.68617470130994
370.0,30.0,420.5028962662327
400.0,30.0,444.51302423515153
